Threshold of rejection,Value of the summary statistics
18.66,25.91
18.63,23.32
18.61,24.27
18.63,28.68
18.58,28.66
18.63,22.16
18.62,24.41
18.63,20.18
18.62,23.19
18.64,24.41
18.62,20.06
18.61,22.74
18.62,24.10
18.61,36.21
18.65,21.72
18.63,22.73
18.62,27.65
18.60,23.59
18.60,26.82
18.63,22.84
18.65,28.11
18.62,26.00
18.64,24.18
18.64,26.55
18.63,25.19
18.63,20.35
18.64,23.85
18.61,20.84
18.62,27.04
18.60,23.40
18.65,29.32
18.63,26.43
18.63,23.29
18.62,23.08
18.64,24.37
18.62,24.82
18.63,22.89
18.64,23.06
18.62,26.68
18.62,26.41
18.57,26.21
18.59,29.49
18.63,22.03
18.63,21.66
18.62,24.25
18.65,20.93
18.64,23.52
18.61,28.09
18.63,24.41
18.65,29.29
18.64,26.65
18.61,23.79
18.62,26.55
18.63,26.55
